0.6396,0.11441,0.18519
0.5717,0.35297,0.72036
0.50451,0.20859,0.56992
0.41757,0.53755,0.99951
0.81848,0.26974,0.89306
0.4426,0.84961,0.45465
0.015049,0.63279,0.38446
0.7172,0.88734,0.34341
0.55313,0.31867,0.30329
0.27984,0.77776,0.11121
0.30085,0.5902,0.83773
0.77858,0.80676,0.75379
0.67735,0.98459,0.90736
0.36588,0.17772,0.46948
0.15656,0.037457,0.60839
0.38077,0.66465,0.3623
0.88598,0.0087423,0.14396
0.32999,0.49521,0.51963
0.14849,0.50043,0.79626
0.23526,0.73179,0.64022
0.97944,0.29987,0.69797
0.085768,0.82135,0.95568
0.7852,0.13951,0.67232
0.94062,0.71245,0.43723
0.61777,0.06667,0.5606
0.21281,0.60287,0.010508
0.92065,0.92502,0.25119
0.87344,0.37865,0.20388
0.055997,0.23228,0.049034
0.73487,0.41858,0.85284
0.096375,0.9403,0.23733
0.49841,0.45872,0.065989
0.49477,0.36786,0.23394
0.42873,0.4814,0.29019
0.47516,0.14714,0.29602
0.53843,0.46477,0.29885
0.43651,0.49443,0.30556
0.6952,0.71584,0.081839
0.32139,0.78981,0.54278
0.45959,0.35822,0.091699
0.03182,0.28243,0.5287
0.81435,0.23214,0.063131
0.44578,0.77001,0.079493
0.37439,0.53292,0.094965
0.49216,0.44905,0.30204
0.171,0.69542,0.49716
0.55707,0.61645,0.51114
0.30085,0.16048,0.53161
0.22212,0.54563,0.14814
0.59346,0.84127,0.12314
0.039879,0.96059,0.10297
0.52382,0.47393,0.3085
0.72491,0.98844,0.045557
0.29667,0.41075,0.30949
0.60181,0.40451,0.30951
0.36031,0.5734,0.29958
0.46068,0.65921,0.29907
0.51939,0.35788,0.30212
0.31413,0.45481,0.3043
0.4068,0.29578,0.29898
0.39901,0.45719,0.30358
0.45487,0.37067,0.30808
0.4743,0.50735,0.29261
0.29526,0.48027,0.30067
0.26797,0.46075,0.30324
0.3021,0.49643,0.27368
0.29951,0.50242,0.3183
0.56101,0.23073,0.30423
0.51574,0.48903,0.27613
0.41926,0.21073,0.29835
0.47313,0.47867,0.32445
0.31238,0.49238,0.29914
0.35866,0.31242,0.30121
0.43875,0.56363,0.28018
0.28977,0.51785,0.29692
0.39787,0.31932,0.26253
0.40216,0.30228,0.332
0.57528,0.31532,0.27556
0.48952,0.055041,0.29014
0.45036,0.47871,0.098931
0.43261,0.46326,0.07731
0.48455,0.46163,0.11284
0.47719,0.52472,0.10356
0.45432,0.50861,0.12581
0.45394,0.55132,0.080039
0.53103,0.5148,0.09895
0.528,0.58551,0.09247
0.54436,0.53019,0.1303
0.49048,0.49401,0.094618
0.56017,0.43404,0.098578
0.59097,0.50907,0.077669
0.56329,0.30593,0.34387
0.40385,0.41441,0.11663
0.30664,0.38312,0.53666
0.56819,0.57511,0.29623
0.30613,0.49215,0.47182
0.35165,0.48688,0.47065
0.27192,0.50318,0.48642
0.28517,0.47485,0.44589
0.29574,0.41956,0.47338
0.29808,0.57929,0.45666
0.48352,0.07649,0.34183
0.4894,0.11473,0.24254
0.51711,0.76206,0.30071
0.43907,0.78742,0.27027
0.36394,0.53611,0.57324
0.48609,0.51666,0.41959
0.51583,0.41003,0.44308
0.5537,0.55721,0.41572
0.54201,0.30505,0.12553
0.56355,0.27002,0.091223
0.59692,0.31571,0.13005
0.51488,0.21317,0.11827
0.46852,0.60874,0.45471
0.57211,0.28835,0.033261
0.51128,0.66993,0.34453
0.33365,0.10274,0.58933
0.52387,0.36714,0.10235
0.56964,0.71318,0.25346
0.52592,0.3184,0.16081
0.29857,0.48742,0.29929
0.28908,0.35326,0.40992
0.44749,0.41264,0.41492
0.23705,0.56862,0.41033
0.29354,0,0.54641
0.54049,0.91898,0.32009
0.27245,0.95428,0.11525
0.27507,0.22735,0.59141
0.38707,0,0.61372
0.76758,0.63579,0.10222
0.67189,0.69686,0.022914
0.337,0.68367,0.080527
0.22616,0.13788,0.49585
0.42754,0,0.24819
0.59417,0.30271,0.46396
0.54186,0.21605,0.45254
0.64907,0.37665,0.47065
0.55563,0.34593,0.49914
0.31412,0.59052,0.49817
